,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,1.95%,1.34%,1.902607858,21.86%,60.00%,40.00%,0.488,0.609,0.781,0.800,0.680,0.333
2,0.000,1.000,0.000,0.000,0.000,0.000,2.38%,0.64%,1.26328667,12.87%,55.00%,65.00%,0.505,0.508,0.444,0.414,0.560,0.667
3,0.000,0.000,1.000,0.000,0.000,0.000,8.03%,2.65%,1.894339115,20.83%,55.00%,50.00%,0.728,0.800,0.776,0.756,0.560,0.467
4,0.000,0.000,0.000,1.000,0.000,0.000,-0.67%,0.07%,1.425453672,15.55%,55.00%,35.00%,0.385,0.426,0.529,0.529,0.560,0.267
5,0.000,0.000,0.000,0.000,1.000,0.000,2.20%,0.44%,1.094578724,10.67%,65.00%,70.00%,0.498,0.479,0.355,0.320,0.800,0.733
6,0.000,0.000,0.000,0.000,0.000,1.000,-5.34%,-1.49%,0.8599948142,8.89%,40.00%,30.00%,0.200,0.200,0.231,0.243,0.200,0.200
7,0.500,0.500,0.000,0.000,0.000,0.000,6.19%,1.63%,1.392192441,14.41%,55.00%,65.00%,0.656,0.652,0.512,0.480,0.560,0.667
8,0.500,0.000,0.500,0.000,0.000,0.000,6.17%,2.34%,1.939118385,21.82%,60.00%,50.00%,0.655,0.754,0.800,0.798,0.680,0.467
9,0.000,0.500,0.500,0.000,0.000,0.000,7.82%,1.97%,1.354461574,13.77%,55.00%,70.00%,0.720,0.700,0.492,0.453,0.560,0.733
10,0.500,0.000,0.000,0.500,0.000,0.000,6.85%,1.90%,1.524957345,16.28%,55.00%,40.00%,0.682,0.691,0.582,0.561,0.560,0.333
11,0.000,0.500,0.000,0.500,0.000,0.000,4.73%,1.23%,1.247375502,13.18%,65.00%,65.00%,0.598,0.594,0.435,0.427,0.800,0.667
12,0.000,0.000,0.500,0.500,0.000,0.000,9.84%,2.64%,1.591408676,16.61%,60.00%,55.00%,0.800,0.797,0.617,0.575,0.680,0.533
13,0.500,0.000,0.000,0.000,0.500,0.000,2.56%,0.74%,1.420759482,14.60%,55.00%,50.00%,0.512,0.522,0.527,0.488,0.560,0.467
14,0.000,0.500,0.000,0.000,0.500,0.000,4.60%,1.07%,1.091537185,10.99%,65.00%,75.00%,0.593,0.571,0.353,0.333,0.800,0.800
15,0.000,0.000,0.500,0.000,0.500,0.000,4.17%,1.10%,1.419546406,14.24%,55.00%,50.00%,0.576,0.575,0.526,0.473,0.560,0.467
16,0.000,0.000,0.000,0.500,0.500,0.000,3.57%,0.95%,1.203244498,12.94%,65.00%,60.00%,0.552,0.553,0.412,0.417,0.800,0.600
17,0.500,0.000,0.000,0.000,0.000,0.500,-2.34%,-0.62%,0.9773247838,10.69%,65.00%,45.00%,0.318,0.326,0.293,0.321,0.800,0.400
18,0.000,0.500,0.000,0.000,0.000,0.500,0.62%,0.02%,0.8641217199,8.73%,60.00%,50.00%,0.436,0.417,0.233,0.236,0.680,0.467
